time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec),velocity(m/s)
1970-03-25T03:39:19.232453,13158.792452830188,-1.3353433068304322e-09
1970-03-25T03:39:19.383396,13158.943396226416,-2.75854116099177e-09
1970-03-25T03:39:19.534340,13159.09433962264,-2.2844162112083187e-09
1970-03-25T03:39:19.685283,13159.245283018869,-2.6911578937291066e-10
1970-03-25T03:39:19.836226,13159.396226415094,1.8687400248710247e-09
1970-03-25T03:39:19.987170,13159.547169811322,2.6799923063020036e-09
1970-03-25T03:39:20.138113,13159.698113207549,1.693987641150828e-09
1970-03-25T03:39:20.289057,13159.849056603774,-3.136780984215153e-10
1970-03-25T03:39:20.440000,13160.0,-1.939662069217606e-09
1970-03-25T03:39:20.590943,13160.150943396226,-2.1591542731819576e-09
1970-03-25T03:39:20.741887,13160.301886792451,-9.83739042530976e-10
1970-03-25T03:39:20.892830,13160.452830188678,6.548055469066157e-10
1970-03-25T03:39:21.043774,13160.603773584906,1.633901630691271e-09
1970-03-25T03:39:21.194717,13160.754716981131,1.4100104761523835e-09
1970-03-25T03:39:21.345660,13160.90566037736,2.972320335866609e-10
1970-03-25T03:39:21.496604,13161.056603773584,-8.656186191237528e-10
1970-03-25T03:39:21.647547,13161.207547169812,-1.3404557978770321e-09
1970-03-25T03:39:21.798491,13161.358490566035,-9.396480961729835e-10
1970-03-25T03:39:21.949434,13161.509433962265,-3.4482314678656506e-11
1970-03-25T03:39:22.100377,13161.66037735849,7.919565447362346e-10
1970-03-25T03:39:22.251321,13161.811320754718,1.139557219374369e-09
1970-03-25T03:39:22.402264,13161.962264150943,9.658475093427351e-10
1970-03-25T03:39:22.553208,13162.11320754717,4.908448014259627e-10
1970-03-25T03:39:22.704151,13162.264150943396,-1.988627575944689e-11
1970-03-25T03:39:22.855094,13162.415094339623,-4.0804794647543125e-10
1970-03-25T03:39:23.006038,13162.566037735847,-6.340853957076013e-10
1970-03-25T03:39:23.156981,13162.716981132076,-7.03335892545414e-10
1970-03-25T03:39:23.307925,13162.867924528302,-6.101167075000989e-10
1970-03-25T03:39:23.458868,13163.018867924528,-3.505308062394797e-10
1970-03-25T03:39:23.609811,13163.169811320757,2.680189857747048e-11
1970-03-25T03:39:23.760755,13163.32075471698,3.9717419488947405e-10
1970-03-25T03:39:23.911698,13163.471698113208,5.981086236380222e-10
1970-03-25T03:39:24.062642,13163.622641509432,5.098513421617892e-10
1970-03-25T03:39:24.213585,13163.77358490566,1.28279127771014e-10
1970-03-25T03:39:24.364528,13163.924528301886,-4.1140860836369855e-10
1970-03-25T03:39:24.515472,13164.075471698114,-8.748331916302745e-10
1970-03-25T03:39:24.666415,13164.22641509434,-1.0221670609472576e-09
1970-03-25T03:39:24.817358,13164.377358490568,-7.250063105982668e-10
1970-03-25T03:39:24.968302,13164.528301886792,-5.59206204263812e-11
1970-03-25T03:39:25.119245,13164.67924528302,7.087364829776698e-10
1970-03-25T03:39:25.270189,13164.830188679243,1.2053000135465201e-09
1970-03-25T03:39:25.421132,13164.981132075472,1.1812917178064202e-09
1970-03-25T03:39:25.572075,13165.132075471698,6.638312947382313e-10
1970-03-25T03:39:25.723019,13165.283018867924,-2.762623319816965e-11
1970-03-25T03:39:25.873962,13165.433962264153,-4.6513725296415505e-10
1970-03-25T03:39:26.024906,13165.584905660377,-3.927129836263911e-10
1970-03-25T03:39:26.175849,13165.735849056604,8.845346222808533e-11
1970-03-25T03:39:26.326792,13165.88679245283,5.771109693685497e-10
1970-03-25T03:39:26.477736,13166.037735849057,6.505753100462421e-10
1970-03-25T03:39:26.628679,13166.188679245282,1.7282858981169607e-10
1970-03-25T03:39:26.779623,13166.33962264151,-5.958053793552259e-10
1970-03-25T03:39:26.930566,13166.490566037735,-1.175311015729856e-09
1970-03-25T03:39:27.081509,13166.641509433965,-1.2020008829059703e-09
1970-03-25T03:39:27.232453,13166.792452830188,-6.754425452544362e-10
1970-03-25T03:39:27.383396,13166.943396226416,6.162925196489256e-11
1970-03-25T03:39:27.534340,13167.09433962264,5.811131315611292e-10
1970-03-25T03:39:27.685283,13167.245283018869,6.585031971737944e-10
1970-03-25T03:39:27.836226,13167.396226415094,3.7952743290068124e-10
1970-03-25T03:39:27.987170,13167.547169811322,1.1875843558042848e-11
1970-03-25T03:39:28.138113,13167.698113207549,-2.224016722245619e-10
1970-03-25T03:39:28.289057,13167.849056603774,-2.7928637351189087e-10
1970-03-25T03:39:28.440000,13168.0,-2.4450752815486164e-10
1970-03-25T03:39:28.590943,13168.150943396226,-1.8863256529344023e-10
1970-03-25T03:39:28.741887,13168.301886792451,-8.526764464319912e-11
1970-03-25T03:39:28.892830,13168.452830188678,1.2835455372774214e-10
1970-03-25T03:39:29.043774,13168.603773584906,4.2266004016066824e-10
1970-03-25T03:39:29.194717,13168.754716981131,6.302206033215958e-10
1970-03-25T03:39:29.345660,13168.90566037736,5.586990685721942e-10
1970-03-25T03:39:29.496604,13169.056603773584,1.7718485193347215e-10
1970-03-25T03:39:29.647547,13169.207547169812,-3.007710984832427e-10
1970-03-25T03:39:29.798491,13169.358490566035,-5.415266210448374e-10
1970-03-25T03:39:29.949434,13169.509433962265,-3.452274686166075e-10
1970-03-25T03:39:30.100377,13169.66037735849,1.7817451195542426e-10
1970-03-25T03:39:30.251321,13169.811320754718,6.704604453586774e-10
1970-03-25T03:39:30.402264,13169.962264150943,7.889983609987806e-10
1970-03-25T03:39:30.553208,13170.11320754717,4.613266704401993e-10
1970-03-25T03:39:30.704151,13170.264150943396,-8.032875156638196e-11
1970-03-25T03:39:30.855094,13170.415094339623,-5.098621442533334e-10
1970-03-25T03:39:31.006038,13170.566037735847,-6.758582735011149e-10
1970-03-25T03:39:31.156981,13170.716981132076,-6.891270751681558e-10
1970-03-25T03:39:31.307925,13170.867924528302,-7.530160517928382e-10
1970-03-25T03:39:31.458868,13171.018867924528,-8.989954210466188e-10
1970-03-25T03:39:31.609811,13171.169811320757,-8.909422239906457e-10
1970-03-25T03:39:31.760755,13171.32075471698,-4.226184043966425e-10
1970-03-25T03:39:31.911698,13171.471698113208,5.379538348555868e-10
1970-03-25T03:39:32.062642,13171.622641509432,1.5705149234193595e-09
1970-03-25T03:39:32.213585,13171.77358490566,2.0044456470562287e-09
1970-03-25T03:39:32.364528,13171.924528301886,1.406132079088212e-09
1970-03-25T03:39:32.515472,13172.075471698114,-1.1639648239021258e-11
1970-03-25T03:39:32.666415,13172.22641509434,-1.41547812651421e-09
1970-03-25T03:39:32.817358,13172.377358490568,-1.863441091004598e-09
1970-03-25T03:39:32.968302,13172.528301886792,-9.71537402593763e-10
1970-03-25T03:39:33.119245,13172.67924528302,7.536856157675237e-10
1970-03-25T03:39:33.270189,13172.830188679243,2.1936938306685526e-09
1970-03-25T03:39:33.421132,13172.981132075472,2.34757287984649e-09
1970-03-25T03:39:33.572075,13173.132075471698,1.0131901855568811e-09
1970-03-25T03:39:33.723019,13173.283018867924,-1.061349793474794e-09
1970-03-25T03:39:33.873962,13173.433962264153,-2.667030025465789e-09
1970-03-25T03:39:34.024906,13173.584905660377,-2.9225355547109127e-09
1970-03-25T03:39:34.175849,13173.735849056604,-1.816294762800845e-09
1970-03-25T03:39:34.326792,13173.88679245283,-1.4414016505134348e-10
1970-03-25T03:39:34.477736,13174.037735849057,1.080278652428792e-09
1970-03-25T03:39:34.628679,13174.188679245282,1.3038946776211864e-09
1970-03-25T03:39:34.779623,13174.33962264151,7.30200580853638e-10
1970-03-25T03:39:34.930566,13174.490566037735,6.343034448829459e-11
1970-03-25T03:39:35.081509,13174.641509433965,-6.712681420022177e-11
1970-03-25T03:39:35.232453,13174.792452830188,4.366218952979295e-10
1970-03-25T03:39:35.383396,13174.943396226416,1.1217649275730055e-09
1970-03-25T03:39:35.534340,13175.09433962264,1.376846195823624e-09
1970-03-25T03:39:35.685283,13175.245283018869,9.142105817651247e-10
1970-03-25T03:39:35.836226,13175.396226415094,-2.177837784959815e-11
