time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec),velocity(m/s)
1970-03-25T12:39:30.402264,45569.96226415094,-1.3039615040379636e-10
1970-03-25T12:39:30.553208,45570.11320754717,1.5985266678195555e-09
1970-03-25T12:39:30.704151,45570.2641509434,3.2042993492937313e-09
1970-03-25T12:39:30.855094,45570.41509433962,3.148765579929785e-09
1970-03-25T12:39:31.006038,45570.56603773585,3.0932318105658396e-09
1970-03-25T12:39:31.156981,45570.71698113208,3.03769804120457e-09
1970-03-25T12:39:31.307925,45570.8679245283,2.9821642718406247e-09
1970-03-25T12:39:31.458868,45571.018867924526,2.926630502476679e-09
1970-03-25T12:39:31.609811,45571.16981132075,2.871096733112733e-09
1970-03-25T12:39:31.760755,45571.32075471698,2.815562963748787e-09
1970-03-25T12:39:31.911698,45571.47169811321,2.7600291943848414e-09
1970-03-25T12:39:32.062642,45571.62264150944,2.7044954250208955e-09
1970-03-25T12:39:32.213585,45571.77358490566,2.648961655659627e-09
1970-03-25T12:39:32.364528,45571.92452830189,2.593427886295681e-09
1970-03-25T12:39:32.515472,45572.07547169811,2.537894116931735e-09
1970-03-25T12:39:32.666415,45572.22641509434,2.482360347567789e-09
1970-03-25T12:39:32.817358,45572.377358490565,2.4268265782038435e-09
1970-03-25T12:39:32.968302,45572.52830188679,2.3712928088398973e-09
1970-03-25T12:39:33.119245,45572.67924528302,2.315759039475952e-09
1970-03-25T12:39:33.270189,45572.83018867925,2.260225270112006e-09
1970-03-25T12:39:33.421132,45572.981132075474,2.204691500750737e-09
1970-03-25T12:39:33.572075,45573.1320754717,2.1491577313867915e-09
1970-03-25T12:39:33.723019,45573.28301886792,2.0936239620228453e-09
1970-03-25T12:39:33.873962,45573.43396226415,2.0380901926589e-09
1970-03-25T12:39:34.024906,45573.58490566038,1.982556423294954e-09
1970-03-25T12:39:34.175849,45573.73584905661,1.927022653931008e-09
1970-03-25T12:39:34.326792,45573.88679245283,1.8714888845670624e-09
1970-03-25T12:39:34.477736,45574.03773584906,1.815955115205793e-09
1970-03-25T12:39:34.628679,45574.188679245286,1.7604213458418475e-09
1970-03-25T12:39:34.779623,45574.33962264151,1.7048875764779014e-09
1970-03-25T12:39:34.930566,45574.49056603773,1.6493538071139556e-09
1970-03-25T12:39:35.081509,45574.64150943396,1.59382003775001e-09
1970-03-25T12:39:35.232453,45574.79245283019,1.5382862683860643e-09
1970-03-25T12:39:35.383396,45574.943396226416,1.4827524990221183e-09
1970-03-25T12:39:35.534340,45575.09433962264,1.4272187296581727e-09
1970-03-25T12:39:35.685283,45575.24528301887,1.3716849602969034e-09
1970-03-25T12:39:35.836226,45575.3962264151,1.316151190932958e-09
1970-03-25T12:39:35.987170,45575.54716981132,1.260617421569012e-09
1970-03-25T12:39:36.138113,45575.698113207545,1.2050836522050663e-09
1970-03-25T12:39:36.289057,45575.84905660377,1.1495498828411203e-09
1970-03-25T12:39:36.440000,45576.0,1.0940161134771744e-09
1970-03-25T12:39:36.590943,45576.15094339623,1.0384823441132288e-09
1970-03-25T12:39:36.741887,45576.301886792455,9.829485747519595e-10
1970-03-25T12:39:36.892830,45576.45283018868,9.274148053880139e-10
1970-03-25T12:39:37.043774,45576.6037735849,8.718810360240681e-10
1970-03-25T12:39:37.194717,45576.75471698113,8.163472666601221e-10
1970-03-25T12:39:37.345660,45576.90566037736,7.608134972961763e-10
1970-03-25T12:39:37.496604,45577.056603773584,7.052797279322306e-10
1970-03-25T12:39:37.647547,45577.20754716981,6.497459585682846e-10
1970-03-25T12:39:37.798491,45577.35849056604,5.942121892043389e-10
1970-03-25T12:39:37.949434,45577.50943396227,5.386784198430701e-10
1970-03-25T12:39:38.100377,45577.660377358494,4.831446504791244e-10
1970-03-25T12:39:38.251321,45577.81132075472,4.2761088111517856e-10
1970-03-25T12:39:38.402264,45577.96226415094,3.720771117512327e-10
1970-03-25T12:39:38.553208,45578.11320754717,3.165433423872869e-10
1970-03-25T12:39:38.704151,45578.2641509434,2.61009573023341e-10
1970-03-25T12:39:38.855094,45578.41509433962,2.0547580365939523e-10
